month,year,plot,stake,species,abundance
July,2009,8,42,sole xylo,10
July,2009,8,51,novo cock,2
July,2009,8,53,phei sita,50
July,2009,8,62,novo cock,1
July,2009,8,64,sole xylo,2
July,2009,8,66,sole xylo,7
July,2009,8,71,sole xylo,2
July,2009,8,75,phei dese,1
July,2009,8,77,sole xylo,15
July,2009,9,11,sole xylo,15
July,2009,9,13,phei xero,20
July,2009,9,15,cono insa,1
July,2009,9,15,novo cock,1
July,2009,9,15,phei sita,4
July,2009,9,22,novo cock,2
July,2009,9,22,phei xero,1
July,2009,9,24,novo cock,2
July,2009,9,26,phei xero,4
July,2009,9,26,sole xylo,10
July,2009,9,31,sole xylo,20
July,2009,9,33,cono insa,1
July,2009,9,33,novo cock,1
July,2009,9,35,novo cock,4
July,2009,9,35,phei sita,15
July,2009,9,37,cono bico,1
July,2009,9,37,cono insa,2
July,2009,9,42,novo cock,2
July,2009,9,44,cono bico,8
July,2009,9,44,pogo dese,4
July,2009,9,46,novo cock,3
July,2009,9,46,sole xylo,35
July,2009,9,51,novo cock,9
July,2009,9,53,cono bico,6
July,2009,9,53,irid prui,2
July,2009,9,53,phei xero,2
July,2009,9,55,novo cock,1
July,2009,9,55,phei sita,20
July,2009,9,57,phei xero,45
July,2009,9,62,cono insa,4
July,2009,9,62,phei sita,20
July,2009,9,64,phei xero,2
July,2009,9,64,pogo dese,20
July,2009,9,64,sole xylo,15
July,2009,9,66,pogo dese,3
July,2009,9,66,sole xylo,15
July,2009,9,71,sole xylo,15
July,2009,9,73,phei xero,1
July,2009,9,73,sole xylo,10
July,2009,9,75,pogo dese,1
July,2009,9,75,sole xylo,15
July,2009,9,77,cono insa,1
July,2009,9,77,novo cock,6
July,2009,10,11,phei xero,5
July,2009,10,13,sole xylo,10
July,2009,10,15,irid prui,1
July,2009,10,15,phei xero,6
July,2009,10,17,sole xylo,15
July,2009,10,22,pogo dese,4
July,2009,10,24,phei xero,8
July,2009,10,24,pogo dese,3
July,2009,10,26,cono insa,1
July,2009,10,26,pogo dese,15
July,2009,10,31,pogo dese,10
July,2009,10,33,cono insa,1
July,2009,10,33,phei xero,3
July,2009,10,33,pogo dese,2
July,2009,10,33,sole xylo,10
July,2009,10,35,pogo dese,4
July,2009,10,35,sole xylo,20
July,2009,10,37,phei sita,1
July,2009,10,37,pogo dese,2
July,2009,10,42,cono insa,2
July,2009,10,42,sole xylo,10
July,2009,10,44,phei xero,5
July,2009,10,46,phei sita,10
July,2009,10,46,sole xylo,10
July,2009,10,51,cono insa,1
July,2009,10,51,pogo dese,4
July,2009,10,53,phei xero,15
July,2009,10,53,pogo dese,1
July,2009,10,55,sole xylo,15
July,2009,10,57,cono insa,1
July,2009,10,57,pogo dese,4
July,2009,10,57,sole xylo,15
July,2009,10,62,novo cock,2
July,2009,10,62,phei xero,3
July,2009,10,62,pogo dese,2
July,2009,10,64,novo cock,1
July,2009,10,64,pogo dese,8
July,2009,10,64,sole xylo,3
July,2009,10,66,phei xero,10
July,2009,10,66,sole xylo,15
July,2009,10,71,pogo dese,15
July,2009,10,73,pogo dese,2
July,2009,10,75,phei xero,3
July,2009,10,75,sole xylo,6
July,2009,10,77,novo cock,1
July,2009,10,77,phei xero,10
July,2009,11,11,novo cock,10
July,2009,11,13,novo cock,1
July,2009,11,15,novo cock,15
July,2009,11,17,novo cock,12
July,2009,11,17,phei xero,1
July,2009,11,22,novo cock,15
July,2009,11,24,novo cock,25
July,2009,11,26,novo cock,25
July,2009,11,31,novo cock,15
July,2009,11,33,novo cock,10
July,2009,11,35,novo cock,4
July,2009,11,35,sole xylo,1
July,2009,11,37,novo cock,8
July,2009,11,42,novo cock,9
July,2009,11,44,novo cock,20
July,2009,11,46,novo cock,20
July,2009,11,51,novo cock,8
July,2009,11,53,novo cock,15
July,2009,11,55,novo cock,30
July,2009,11,57,novo cock,12
July,2009,11,62,novo cock,6
July,2009,11,64,novo cock,30
July,2009,11,66,novo cock,15
July,2009,11,71,novo cock,10
July,2009,11,73,novo cock,3
July,2009,11,75,novo cock,12
July,2009,11,75,sole xylo,1
July,2009,11,77,sole xylo,40
July,2009,12,11,phei xero,45
July,2009,12,15,phei sita,1
July,2009,12,15,pogo dese,1
July,2009,12,15,sole sp,10
July,2009,12,17,sole xylo,8
July,2009,12,31,sole xylo,1
July,2009,12,35,pogo imbe,2
July,2009,12,35,sole xylo,5
July,2009,12,37,phei xero,5
July,2009,12,46,phei xero,3
July,2009,12,51,sole xylo,5
July,2009,12,53,novo cock,6
July,2009,12,53,sole xylo,1
July,2009,12,55,novo cock,1
July,2009,12,55,sole xylo,10
July,2009,12,57,novo cock,4
July,2009,12,62,sole xylo,25
July,2009,12,64,novo cock,1
July,2009,12,66,novo cock,5
July,2009,12,71,novo cock,1
July,2009,12,73,novo cock,2
July,2009,12,73,phei sita,3
July,2009,12,75,novo cock,10
July,2009,12,75,sole xylo,1
July,2009,12,77,novo cock,5
July,2009,13,11,novo cock,3
July,2009,13,22,novo cock,15
July,2009,13,24,novo cock,1
July,2009,13,24,phei sita,10
July,2009,13,26,phei sita,2
July,2009,13,26,phei xero,3
July,2009,13,33,novo cock,2
July,2009,13,35,crem sp,20
July,2009,13,37,phei xero,1
July,2009,13,42,novo cock,2
July,2009,13,44,novo cock,1
July,2009,13,44,phei sita,5
July,2009,13,46,crem sp,15
July,2009,13,53,novo cock,2
July,2009,13,53,phei sita,10
July,2009,13,53,phei xero,10
July,2009,13,55,novo cock,7
July,2009,13,57,crem sp,5
July,2009,13,64,crem sp,5
July,2009,13,66,crem sp,2
July,2009,13,71,crem sp,1
July,2009,13,71,phei xero,1
July,2009,13,73,sole xylo,5
July,2009,13,77,novo cock,1
July,2009,14,11,novo cock,1
July,2009,14,11,pogo dese,3
July,2009,14,13,novo cock,10
July,2009,14,15,pogo dese,2
July,2009,14,15,sole sp,20
July,2009,14,17,novo cock,6
July,2009,14,17,pogo dese,1
July,2009,14,22,sole sp,20
July,2009,14,24,pogo dese,2
July,2009,14,24,sole sp,9
July,2009,14,26,novo cock,4
July,2009,14,26,pogo dese,10
July,2009,14,31,novo cock,3
July,2009,14,33,novo cock,8
July,2009,14,35,sole sp,15
July,2009,14,37,novo cock,6
July,2009,14,37,pogo dese,1
July,2009,14,42,novo cock,4
July,2009,14,42,phei sita,10
July,2009,14,44,pogo dese,1
July,2009,14,44,sole sp,5
July,2009,14,53,novo cock,7
July,2009,14,55,sole sp,10
July,2009,14,57,sole sp,2
July,2009,14,62,novo cock,1
July,2009,14,64,novo cock,2
July,2009,14,71,pogo dese,15
July,2009,14,73,phei sita,15
July,2009,14,77,phei xero,1
July,2009,15,11,phei xero,3
July,2009,15,13,novo cock,4
July,2009,15,13,phei sita,2
July,2009,15,15,phei sita,3
July,2009,15,15,phei xero,3
July,2009,15,17,phei sita,5
July,2009,15,17,phei xero,4
July,2009,15,22,novo cock,10
July,2009,15,24,novo cock,3
July,2009,15,24,sole xylo,30
July,2009,15,26,phei xero,1
July,2009,15,26,pogo dese,5
July,2009,15,31,sole xylo,35
July,2009,15,33,novo cock,10
July,2009,15,33,pogo dese,3
July,2009,15,35,phei sita,15
July,2009,15,37,sole xylo,15
July,2009,15,42,novo cock,5
July,2009,15,42,pogo dese,15
July,2009,15,44,novo cock,7
July,2009,15,46,novo cock,5
July,2009,15,46,pogo dese,2
July,2009,15,51,sole xylo,25
July,2009,15,53,novo cock,4
July,2009,15,55,novo cock,1
July,2009,15,55,pogo dese,5
July,2009,15,57,novo cock,2
July,2009,15,57,pogo dese,4
July,2009,15,62,novo cock,1
July,2009,15,62,pogo dese,10
July,2009,15,64,phei xero,25
July,2009,15,66,novo cock,3
July,2009,15,71,novo cock,1
July,2009,15,71,pogo dese,7
July,2009,15,73,novo cock,2
July,2009,15,73,phei sita,15
July,2009,15,75,novo cock,4
July,2009,15,75,pogo dese,5
July,2009,15,77,novo cock,6
July,2009,16,11,sole xylo,5
July,2009,16,13,phei sita,10
July,2009,16,15,phei sita,3
July,2009,16,15,phei xero,3
July,2009,16,17,pogo dese,3
July,2009,16,22,novo cock,3
July,2009,16,24,phei sita,10
July,2009,16,26,phei sita,1
July,2009,16,31,novo cock,4
July,2009,16,33,novo cock,2
July,2009,16,35,phei xero,2
July,2009,16,37,phei xero,1
July,2009,16,37,sole xylo,15
July,2009,16,42,sole xylo,5
July,2009,16,44,sole xylo,25
July,2009,16,46,novo cock,2
July,2009,16,51,novo cock,4
July,2009,16,53,phei sita,20
July,2009,16,55,novo cock,3
July,2009,16,57,novo cock,6
July,2009,16,62,novo cock,3
July,2009,16,62,phei sita,20
July,2009,16,62,pogo dese,2
July,2009,16,64,novo cock,1
July,2009,16,64,sole xylo,8
July,2009,16,66,sole xylo,3
July,2009,16,71,novo cock,7
July,2009,16,73,phei sita,15
July,2009,16,73,pogo dese,1
July,2009,16,75,pogo dese,1
July,2009,16,75,sole xylo,10
July,2009,16,77,sole xylo,25
July,2009,17,11,cono insa,8
July,2009,17,11,phei xero,3
July,2009,17,13,sole xylo,25
July,2009,17,15,novo cock,6
July,2009,17,15,sole xylo,2
July,2009,17,17,phei xero,8
July,2009,17,17,sole xylo,6
July,2009,17,24,phei xero,10
July,2009,17,24,pogo dese,1
July,2009,17,26,sole xylo,30
July,2009,17,31,phei sita,5
July,2009,17,35,phei xero,15
July,2009,17,37,phei xero,10
July,2009,17,37,sole xylo,6
July,2009,17,42,phei xero,40
July,2009,17,44,sole xylo,40
July,2009,17,51,novo cock,1
July,2009,17,51,sole xylo,35
July,2009,17,53,sole xylo,25
July,2009,17,55,sole xylo,20
July,2009,17,75,sole xylo,30
July,2009,17,77,sole xylo,1
July,2009,18,11,pogo dese,1
July,2009,18,11,sole xylo,10
July,2009,18,13,phei sita,10
July,2009,18,13,pogo dese,1
July,2009,18,15,sole sp,1
July,2009,18,17,phei xero,1
July,2009,18,17,sole xylo,10
July,2009,18,22,sole xylo,25
July,2009,18,24,sole xylo,40
July,2009,18,26,cono insa,3
July,2009,18,26,phei xero,1
July,2009,18,26,pogo imbe,1
July,2009,18,31,sole xylo,10
July,2009,18,33,novo cock,1
July,2009,18,33,pogo dese,15
July,2009,18,35,novo cock,1
July,2009,18,37,sole xylo,35
July,2009,18,42,sole xylo,20
July,2009,18,44,sole xylo,40
July,2009,18,46,phei xero,30
July,2009,18,46,sole xylo,15
July,2009,18,51,phei xero,1
July,2009,18,55,novo cock,2
July,2009,18,55,sole xylo,25
July,2009,18,57,phei xero,5
July,2009,18,57,sole xylo,5
July,2009,18,64,novo cock,6
July,2009,18,66,sole xylo,25
July,2009,18,71,phei xero,4
July,2009,18,73,novo cock,1
July,2009,18,73,pogo dese,2
July,2009,18,73,sole xylo,15
July,2009,18,75,novo cock,2
July,2009,18,75,sole xylo,25
July,2009,18,77,sole xylo,30
July,2009,19,13,sole xylo,25
July,2009,19,15,phei xero,25
July,2009,19,17,sole xylo,20
July,2009,19,22,sole xylo,9
July,2009,19,24,pogo dese,5
July,2009,19,24,sole xylo,10
July,2009,19,26,pogo dese,8
July,2009,19,26,sole xylo,2
July,2009,19,31,sole xylo,20
July,2009,19,33,sole xylo,4
July,2009,19,37,novo cock,3
July,2009,19,37,sole xylo,3
July,2009,19,42,sole xylo,4
July,2009,19,44,novo cock,1
July,2009,19,44,phei xero,30
July,2009,19,46,phei xero,25
July,2009,19,51,sole xylo,25
July,2009,19,53,novo cock,4
July,2009,19,53,sole xylo,3
July,2009,19,55,sole xylo,15
July,2009,19,57,phei xero,25
July,2009,19,62,sole xylo,20
July,2009,19,64,sole xylo,15
July,2009,19,66,phei sita,40
July,2009,19,71,phei sita,10
July,2009,19,71,pogo imbe,2
July,2009,19,73,phei sita,2
July,2009,19,73,sole xylo,15
July,2009,19,75,phei xero,1
July,2009,19,75,sole xylo,20
July,2009,20,11,phei xero,2
July,2009,20,13,sole xylo,10
July,2009,20,15,sole xylo,15
July,2009,20,22,sole xylo,9
July,2009,20,24,phei xero,35
July,2009,20,26,novo cock,4
July,2009,20,26,phei xero,25
July,2009,20,31,sole xylo,15
July,2009,20,33,novo cock,5
July,2009,20,33,phei sita,15
July,2009,20,35,pogo barb,1
July,2009,20,37,phei dese,1
July,2009,20,37,sole xylo,25
July,2009,20,42,sole xylo,20
July,2009,20,44,novo cock,1
July,2009,20,44,pogo barb,15
July,2009,20,46,novo cock,1
July,2009,20,46,sole xylo,8
July,2009,20,51,sole xylo,15
July,2009,20,53,phei xero,8
July,2009,20,57,sole xylo,50
July,2009,20,62,novo cock,1
July,2009,20,62,sole xylo,10
July,2009,20,64,pogo barb,3
July,2009,20,64,sole xylo,20
July,2009,20,66,phei xero,10
July,2009,20,66,sole xylo,4
July,2009,20,71,phei xero,15
July,2009,20,71,sole xylo,1
July,2009,20,73,sole xylo,30
July,2009,20,75,phei xero,1
July,2009,20,75,sole xylo,30
July,2009,20,77,novo cock,3
July,2009,20,77,sole xylo,15
July,2009,21,11,novo cock,4
July,2009,21,13,novo cock,6
July,2009,21,13,phei xero,15
July,2009,21,13,pogo dese,1
July,2009,21,15,novo cock,6
July,2009,21,17,cono insa,2
July,2009,21,17,pogo dese,3
July,2009,21,22,cono bico,1
July,2009,21,24,sole xylo,25
July,2009,21,26,novo cock,15
July,2009,21,33,phei xero,2
July,2009,21,35,sole xylo,15
July,2009,21,37,sole xylo,25
July,2009,21,42,sole xylo,40
July,2009,21,44,sole xylo,30
July,2009,21,46,novo cock,2
July,2009,21,46,phei xero,20
July,2009,21,46,pogo dese,6
July,2009,21,51,phei xero,1
July,2009,21,55,novo cock,2
July,2009,21,57,novo cock,10
July,2009,21,57,phei xero,20
July,2009,21,57,sole xylo,15
July,2009,21,62,novo cock,2
July,2009,21,64,phei xero,15
July,2009,21,66,phei xero,35
July,2009,21,71,novo cock,15
July,2009,21,73,novo cock,7
July,2009,21,73,sole xylo,9
July,2009,21,75,pogo dese,20
July,2009,21,77,phei xero,25
July,2009,22,11,phei xero,15
July,2009,22,13,pogo dese,1
July,2009,22,15,novo cock,2
July,2009,22,24,pogo dese,20
July,2009,22,26,novo cock,1
July,2009,22,33,novo cock,5
July,2009,22,35,cono bico,1
July,2009,22,37,novo cock,1
July,2009,22,37,pogo dese,4
July,2009,22,42,pogo dese,2
July,2009,22,44,sole xylo,60
July,2009,22,46,cono insa,3
July,2009,22,51,pogo dese,3
July,2009,22,53,pogo dese,10
July,2009,22,57,cono insa,2
July,2009,22,57,irid prui,2
July,2009,22,64,sole xylo,40
July,2009,22,66,novo cock,2
July,2009,22,71,phei xero,1
July,2009,22,73,sole xylo,25
July,2009,22,75,novo cock,1
July,2009,22,75,pogo dese,35
July,2009,22,77,novo cock,5
July,2009,23,13,phei xero,6
July,2009,23,13,sole xylo,2
July,2009,23,15,sole xylo,15
July,2009,23,17,sole xylo,20
July,2009,23,22,sole xylo,35
July,2009,23,24,phei sita,15
July,2009,23,26,cono insa,1
July,2009,23,26,sole xylo,10
July,2009,23,33,sole xylo,20
July,2009,23,35,sole xylo,15
July,2009,23,42,sole xylo,10
July,2009,23,44,sole xylo,4
July,2009,23,46,sole xylo,15
July,2009,23,51,cono insa,1
July,2009,23,51,pogo dese,15
July,2009,23,53,novo cock,1
July,2009,23,53,sole xylo,10
July,2009,23,55,sole xylo,15
July,2009,23,57,pogo dese,15
July,2009,23,62,novo cock,1
July,2009,23,64,sole xylo,25
July,2009,23,73,novo cock,1
July,2009,23,75,pogo dese,20
July,2009,23,77,pogo dese,10
July,2009,24,11,sole xylo,25
July,2009,24,13,novo cock,1
July,2009,24,13,pogo dese,10
July,2009,24,15,irid prui,5
July,2009,24,22,phei xero,10
July,2009,24,22,pogo dese,6
July,2009,24,24,novo cock,1
July,2009,24,24,pogo dese,8
July,2009,24,24,sole xylo,15
July,2009,24,26,pogo dese,3
July,2009,24,26,sole xylo,30
July,2009,24,31,novo cock,1
July,2009,24,33,sole xylo,20
July,2009,24,35,irid prui,2
July,2009,24,37,phei xero,50
July,2009,24,42,pogo dese,7
July,2009,24,44,sole xylo,40
July,2009,24,46,sole xylo,20
July,2009,24,53,pogo dese,1
July,2009,24,55,novo cock,1
July,2009,24,55,pogo dese,3
July,2009,24,55,sole xylo,20
July,2009,24,57,sole xylo,50
July,2009,24,62,irid prui,8
July,2009,24,62,pogo dese,5
July,2009,24,64,pogo dese,10
July,2009,24,64,sole xylo,10
July,2009,24,66,sole xylo,25
July,2009,24,71,irid prui,3
July,2009,24,71,pogo dese,10
July,2009,24,73,novo cock,8
July,2009,24,73,sole xylo,4
July,2009,24,75,novo cock,3
July,2009,24,75,sole xylo,20
July,2009,24,77,phei sita,2
July,2009,24,77,phei xero,15
